ano, probabilidade
1996,0.68
1997,0.003
1998,0.003
1999,0.003
2000,0.68
2001,0.68
2002,0.68
2003,0.68
2004,0.68
2005,0.68
2006,0.68
2007,0.68
2008,0.003
2009,0.68
2010,0.003
2011,0.003
2012,0.68
2013,0.003
